time,dF/F,behavior
46861.3,-0.334,abdomen lick
46927.955,-0.284,abdomen lick
46994.615,-0.183,abdomen lick
47061.271,-0.194,abdomen lick
47127.93,-0.326,abdomen lick
47194.581,-0.348,abdomen lick
47261.244,-0.073,abdomen lick
47327.901,-0.151,abdomen lick
47394.558,-0.173,abdomen lick
47461.209,-0.327,abdomen lick
47527.869,-0.196,abdomen lick
47594.527,-0.008,abdomen lick
47661.186,-0.085,abdomen lick
47727.837,-0.157,abdomen lick
47794.496,-0.108,abdomen lick
47861.151,-0.245,abdomen lick
47927.812,-0.284,abdomen lick
47994.469,-0.418,abdomen lick
48061.125,-0.387,abdomen lick
48127.783,-0.251,abdomen lick
48194.444,-0.354,abdomen lick
48261.098,-0.472,abdomen lick
48327.759,-0.363,idle
48394.416,-0.323,idle
48461.072,-0.174,idle
48527.735,-0.243,idle
48594.393,-0.463,idle
48661.048,-0.487,idle
48727.707,-0.386,idle
48794.367,-0.445,idle
48861.022,-0.313,idle
48927.682,-0.261,idle
48994.338,-0.276,idle
49060.998,-0.245,idle
49127.65,-0.153,idle
49194.313,-0.037,idle
49260.969,-0.117,idle
49327.627,-0.142,idle
49394.285,-0.189,idle
49460.942,-0.483,idle
49527.599,-0.532,idle
49594.261,-0.334,idle
49660.914,-0.174,idle
49727.576,-0.177,idle
49794.233,-0.095,idle
49860.893,-0.081,idle
49927.548,0.027,idle
49994.205,0.072,idle
50060.862,0.056,idle
50127.521,-0.146,idle
50194.182,-0.277,idle
50260.835,-0.18,idle
50327.497,-0.197,idle
50394.154,-0.248,idle
50460.81,0.12,idle
50527.468,0.063,abdomen lick
50594.128,0.001,abdomen lick
50660.783,-0.133,abdomen lick
50727.444,-0.172,abdomen lick
50794.098,-0.228,abdomen lick
50860.759,-0.326,abdomen lick
50927.418,-0.382,abdomen lick
50994.072,-0.348,abdomen lick
51060.734,-0.285,abdomen lick
51127.391,-0.149,abdomen lick
51194.047,-0.057,abdomen lick
51260.707,-0.183,abdomen lick
51327.364,-0.12,abdomen lick
51394.018,-0.143,abdomen lick
51460.678,-0.408,abdomen lick
51527.336,-0.201,idle
51593.996,-0.216,idle
51660.649,-0.183,idle
51727.308,-0.076,idle
51793.968,-0.174,idle
51860.626,0.003,idle
51927.285,-0.138,idle
51993.942,0.059,idle
52060.597,0.108,idle
52127.254,0.111,idle
52193.917,0.158,idle
52260.57,0.212,idle
52327.228,0.268,idle
52393.887,0.403,idle
